ID,企业名称
北京市2018年第一批拟认定高新技术企业名单,
,
1,北京路桥通国际工程咨询有限公司
2,北京勤思勤智科技有限公司
3,北京多联科技有限公司
4,北京东展科博科技股份有限公司
5,中知知识互联（北京）科技有限公司
6,北京弘图科技有限公司
7,北京星辰万有科技有限公司
8,北京欧瑞科斯科技有限公司
9,北京国信博飞科技发展有限公司
10,北京市进联国玉制动泵有限责任公司
11,北京合立星源光电科技有限公司
12,北京迪科创新科技有限公司
13,北京汇达城数科技发展有限公司
14,北京中益信联科技有限公司
15,北京深育技术服务有限公司
16,北京羽胜科技有限公司
17,北京东大金智科技有限公司
18,北京凌宇智控科技有限公司
19,北京中世勃华科技有限公司
20,北京安通尼电子技术有限公司
21,北京国脉信安科技有限公司
22,北京九艺空间科技有限公司
23,北京天云融创科技有限公司
24,普华和诚（北京）信息有限公司
25,北京中铁建建筑科技有限公司
26,北京创盈金鼎科技有限公司
27,北京大美亲子投资集团有限公司
28,北京延龄草科技有限公司
29,中交信息技术国家工程实验室有限公司
30,北京时序易简科技有限公司
31,北京声智科技有限公司
32,北京义方天下教育科技有限公司
33,中泰盛达（北京）体育文化有限公司
34,北京天川同展科技有限公司
35,大唐电信节能服务有限公司
36,北京中智核安科技有限公司
37,亦康（北京）医药科技有限公司
38,北京店帮科技有限公司
39,北京同方神火联合科技发展有限公司
40,卡尤迪医学检验实验室（北京）有限公司
41,北京微点智创科技有限公司
42,北京安信广通新技术有限公司
43,北京主线科技有限公司
44,东展科博（北京）技术有限公司
45,军融迈福（北京）科技有限公司
46,大禹伟业（北京）国际科技有限公司
47,艾米奈华（北京）智能科技有限公司
48,北京美谷科技有限公司
49,北京天江源科技有限公司
50,互爱互动（北京）科技有限公司
51,北京永列科技有限公司
52,北京宏刚高科科技有限公司
53,中科赛诺（北京）科技有限公司
54,北京依生兴业科技有限公司
55,中交三公局第一工程有限公司
56,北京华沁智联科技有限公司
57,北京盈动创想信息科技有限公司
58,北京德意新能电气有限公司
59,北京航天驭星科技有限公司
60,北京九鼎绿环科技股份有限公司
61,北京北方宏拓环保设备制造有限公司
62,中开创建（北京）国际工程技术有限公司
63,北京艾蒂儿网络科技有限公司
64,北京享租设备科技有限公司
65,北京闽鄂吉科技发展有限公司
66,北京源诚工业安全技术有限公司
67,中科弘清（北京）科技有限公司
68,北京康诚尚德通信技术有限公司
69,北京万维之道信息技术有限公司
70,北京北分天普仪器技术有限公司
71,北京费莫斯科技有限责任公司
72,北京医联蓝卡在线科技有限公司
73,菲亿频电气集团有限公司
74,绿石（北京）网络科技有限公司
75,北京天启领航科技有限公司
76,北京红山瑞达科技有限公司
77,北京先之机械设备有限公司
78,华韵文化科技有限公司
79,北京雨根科技有限公司
80,北京联云天下科技有限公司
81,中持水务股份有限公司
82,北京首钢股份有限公司
83,北京灵信互动信息技术有限公司
84,北京爱呼科技有限责任公司
85,北京立简易科技有限公司
86,乐学汇通（北京）教育科技有限公司
87,北京民用航空保安器材有限公司
88,北京北鹰天启科技发展有限公司
89,北京瑞航同达科技有限公司
90,北京文骏科技有限公司
91,北京呈诺医学科技有限公司
92,北京云象科技有限公司
93,北京童言科技有限公司
94,科菱环境工程（北京）有限公司
95,北京智博德友信息技术有限公司
96,多点生活（中国）网络科技有限公司
97,北京企鹅童话科技有限公司
98,北京千种幻影科技有限公司
99,北京奥维森基因科技有限公司
100,北京威廉顺塑胶制品有限公司
101,北京莲和医学检验所有限公司
102,北京智信力达技术服务有限公司
